country;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;0.29;406;345;0.28;253;262;245;247;254
Angola;1.24;1.25;1.35;1.28;1.64;1.22;1.18;1.14;1.12
Albania;1.56;1.79;1.69;1.69;1.9;1.6;1.57;1.61;1.59
Andorra;6.12;5.87;5.92;5.9;5.83;5.97;6.07;6.27;6.12
United Arab Emirates;18.3;18.9;23.8;23.7;24.2;20.7;21.7;21.1;21.4
Argentina;4.57;4.61;4.6;4.56;4.56;4.64;4.6;4.55;4.41
Armenia;1.48;1.73;1.99;1.91;1.91;1.65;1.76;1.7;1.89
Antigua and Barbuda;5.96;5.75;5.8;5.73;5.7;5.84;5.9;5.89;5.88
Australia;18.4;18;17.8;17.1;16.7;16.8;17;17;16.9
Austria;8.6;8.3;7.95;7.97;7.49;7.7;7.7;7.94;7.75