country;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Argentina;40.9M;41.3M;41.8M;42.2M;42.6M;43.1M;43.5M;43.9M;44.4M;44.8M;45.2M
Armenia;2.88M;2.88M;2.88M;2.9M;2.91M;2.93M;2.94M;2.94M;2.95M;2.96M;2.96M
Antigua and Barbuda;88k;89.3k;90.4k;91.5k;92.6k;93.6k;94.5k;95.4k;96.3k;97.1k;97.9k
Australia;22.2M;22.5M;22.9M;23.3M;23.6M;23.9M;24.3M;24.6M;24.9M;25.2M;25.5M
Austria;8.41M;8.45M;8.5M;8.56M;8.62M;8.68M;8.75M;8.82M;8.89M;8.96M;9.01M
Azerbaijan;9.03M;9.15M;9.26M;9.39M;9.51M;9.62M;9.74M;9.85M;9.95M;10M;10.1M
Burundi;8.68M;8.96M;9.25M;9.54M;9.84M;10.2M;10.5M;10.8M;11.2M;11.5M;11.9M
Belgium;10.9M;11M;11.1M;11.2M;11.2M;11.3M;11.4M;11.4M;11.5M;11.5M;11.6M
Benin;9.2M;9.46M;9.73M;10M;10.3M;10.6M;10.9M;11.2M;11.5M;11.8M;12.1M
Burkina Faso;15.6M;16.1M;16.6M;17.1M;17.6M;18.1M;18.6M;19.2M;19.8M;20.3M;20.9M